0,85.377,0.96429,0.058571,0.052857,0.087143,0.17429,0.15571,79.08,88.86,88.36,89.9,83.33,83.89,84.22,0.37,0.01,0.02,0,0.01,0,0,0.37,0,0,0,0,0,0,0,0.02,0.07,0.09,0.19,0.14,0.1,0.15,0.13,0.16,0.13,0.23,0.23,0.19,0.15,0.19,0.29,0.38,0.99,0.62,0.82,0,0.04,0.04,0.12,0.38,0.15,0.36
0,41.851,0.82857,0.18143,0.075714,0.38429,0.64571,1.61,66.62,57.4,37.47,33.06,30.5,33.27,34.64,0,0.49,0.33,0.1,0.15,0.11,0.09,0,0.27,0.15,0.05,0.05,0.01,0,0,0.03,0.27,0.49,0.52,0.74,0.64,0.38,0.3,0.54,0.81,0.82,0.86,0.81,0.38,0.84,2.2,3.27,3.9,5.41,5.87,0,0.51,1.34,1.69,2.21,2.52,3
0,46.51,0.95857,0.09,0.075714,0.092857,0.64286,0.40143,41.85,49.57,51.86,51.66,45.89,39.9,44.84,0.38,0.15,0.06,0.01,0.02,0.01,0,0.38,0.15,0,0,0,0,0,0,0,0.13,0.12,0.15,0.1,0.15,0.52,0.53,0.68,0.67,0.7,0.72,0.68,0.52,0.58,1.79,1.4,1.44,1.33,1.02,0,0.05,0.94,0.61,0.55,0.49,0.17
0,43.789,0.94286,0.13143,0.10429,0.19143,0.78286,0.25857,58.57,47.45,42.66,42.27,39.51,37.44,38.62,0.68,0.21,0.03,0,0,0,0,0.68,0.05,0,0,0,0,0,0,0.13,0.14,0.2,0.24,0.31,0.32,0.26,0.69,0.89,0.89,0.93,0.93,0.89,0.26,0.91,1.54,1.36,1.52,1.73,1.97,0,0.09,0.47,0.21,0.27,0.33,0.44
0,36.037,0.88571,0.13143,0.091429,0.30857,0.78429,1.4214,37.99,45.24,55.04,33.35,27.49,27.97,25.18,0.61,0.09,0.1,0.09,0,0.03,0,0.61,0.02,0,0.01,0,0,0,0,0.19,0.24,0.47,0.45,0.44,0.37,0.37,0.71,0.64,0.86,0.98,0.95,0.98,0.37,3.06,4.66,2.47,2.82,3.11,2.5,0,2.16,3.76,0.95,1.06,1.24,0.78
1,77.979,0.67714,0.19,0.095714,0.47143,0.30429,4.2229,99.03,95.22,79.75,74.37,64.76,68.49,64.23,0.63,0.04,0.23,0.18,0.07,0.11,0.07,0.63,0.02,0.02,0,0,0,0,0,0.05,0.36,0.57,0.72,0.77,0.83,0.01,0.05,0.22,0.3,0.5,0.51,0.54,0.01,0.23,2.34,5.2,7.74,10.84,12.21,0,0.13,1.64,4.05,5.83,8.52,9.39
1,63.537,0.96857,0.13857,0.12,0.52,0.35429,0.31286,49.62,64.65,62.39,65.57,70.74,66.62,65.17,0.71,0.21,0.02,0.03,0,0,0,0.71,0.13,0,0,0,0,0,0,0.14,0.29,0.65,0.82,0.85,0.89,0.23,0.33,0.41,0.39,0.33,0.38,0.41,0.23,0.86,1.08,1.55,2.28,2.3,2.64,0,0.39,0.37,0.29,0.5,0.32,0.32
1,4.5314,0.95714,0.081429,0.081429,0.27,0.91286,0.022857,4.06,5.37,6.12,3.57,4.15,4.63,3.82,0.42,0.15,0,0,0,0,0,0.42,0.15,0,0,0,0,0,0,0.12,0.34,0.32,0.37,0.41,0.33,0.57,0.84,0.98,1,1,1,1,0.57,0.96,1.35,1.38,1.46,1.54,1.41,0,0,0.01,0.02,0.07,0.03,0.03
1,30.621,0.72286,0.18143,0.094286,0.52,0.79286,1.2057,20.79,31.61,32.07,32.55,33.42,30.57,33.34,0.57,0.28,0.15,0.13,0.03,0.07,0.04,0.57,0.07,0.01,0.01,0,0,0,0,0.53,0.57,0.73,0.6,0.63,0.58,0.43,0.7,0.82,0.84,0.94,0.93,0.89,0.43,1.79,2.68,3.15,3.59,4.12,4.53,0,0.56,1.14,1.12,1.58,1.76,2.28
1,79.393,0.91429,0.14714,0.10857,0.30429,0.2,0.48143,40.27,81.74,77.54,86.31,89.07,91.32,89.5,0.38,0.44,0.13,0.01,0.05,0,0.02,0.38,0.35,0.03,0,0,0,0,0,0.27,0.42,0.29,0.43,0.32,0.4,0.41,0.15,0.24,0.17,0.15,0.13,0.15,0.41,0.5,1.12,1.08,1.69,1.29,2.33,0,0.08,0.32,0.47,0.78,0.48,1.24
2,26.89,0.92571,0.077143,0.062857,0.27429,0.79286,0.35571,47.09,33.82,31.63,22.09,21.97,15.66,15.97,0.37,0.1,0.03,0,0.02,0.01,0.01,0.37,0.07,0,0,0,0,0,0,0.27,0.39,0.31,0.35,0.26,0.34,0.38,0.68,0.75,0.92,0.89,0.96,0.97,0.38,1.17,1.62,1.77,1.93,1.82,2.08,0,0.22,0.43,0.46,0.51,0.4,0.47
2,74.413,0.96286,0.018571,0.014286,0.15429,0.27429,0.11286,63.22,70.93,76.73,71,82.53,80.03,76.45,0.1,0.03,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.11,0.14,0.21,0.22,0.17,0.23,0.35,0.33,0.26,0.32,0.19,0.21,0.26,0.35,0.51,0.5,0.67,0.67,0.66,1.03,0,0.07,0.05,0.04,0.1,0.15,0.38
2,63.783,0.83429,0.087143,0.055714,0.41714,0.46429,1.4857,22.73,66.84,71.46,73.23,70.56,67.6,74.06,0.36,0.13,0.06,0.03,0.01,0,0.02,0.36,0.01,0.02,0,0,0,0,0,0.29,0.27,0.39,0.57,0.65,0.75,0.6,0.46,0.46,0.39,0.46,0.47,0.41,0.6,0.78,1.22,1.79,3.73,5.01,5.58,0,0.03,0.41,0.87,2.33,3.36,3.4
2,12.017,0.95143,0.011429,0.0028571,0.20857,0.98429,0.16143,12.72,11.44,13.15,9.61,9.58,11.88,15.74,0.02,0.04,0,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0.08,0.21,0.25,0.24,0.32,0.36,0.97,0.95,1,0.99,0.99,1,0.99,0.97,1.04,1.33,1.45,1.46,1.8,2.1,0,0.01,0.09,0.15,0.14,0.34,0.4
2,62.666,0.76714,0.16571,0.10143,0.47143,0.38429,1.02,58.33,54.5,59.42,65.2,69.01,68.69,63.51,0.69,0.24,0.12,0.05,0.02,0.03,0.01,0.69,0.02,0,0,0,0,0,0,0.32,0.39,0.45,0.68,0.65,0.81,0.14,0.44,0.44,0.41,0.4,0.39,0.47,0.14,1.18,1.88,1.95,3.08,3.2,4.01,0,0.42,0.96,0.87,1.47,1.64,1.78
3,16.349,1,0.071429,0.071429,0.15571,0.80714,0,9.52,12.05,19.54,14.98,22.97,15.66,19.72,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.24,0.16,0.15,0.12,0.21,0.21,0.44,0.92,0.84,0.9,0.81,0.89,0.85,0.44,1.16,1,1.05,0.93,1.1,1.06,0,0,0,0,0,0,0
3,3.8429,1,0.10429,0.10429,0.16857,0.89571,0.01,4.58,4.22,3.25,3.55,3.71,3.72,3.87,0.72,0.01,0,0,0,0,0,0.72,0.01,0,0,0,0,0,0,0,0.06,0.14,0.31,0.34,0.33,0.28,0.99,1,1,1,1,1,0.28,0.99,1.07,1.15,1.35,1.42,1.4,0,0,0,0,0.01,0.03,0.03
3,3.4871,1,0.12286,0.12286,0.28429,0.87714,0.0028571,3.74,3.84,3.02,3.43,3.17,3.41,3.8,0.84,0.02,0,0,0,0,0,0.84,0.02,0,0,0,0,0,0,0.11,0.14,0.37,0.48,0.49,0.4,0.16,0.98,1,1,1,1,1,0.16,1.09,1.14,1.37,1.48,1.51,1.45,0,0,0,0,0,0,0.02
3,6.6457,1,0.15429,0.15286,0.39571,0.83857,0.038571,4.88,3.88,7.1,8.82,6.86,5.93,9.05,0.99,0.01,0.07,0.01,0,0,0,0.99,0.01,0.06,0.01,0,0,0,0,0.22,0.32,0.42,0.57,0.62,0.62,0.01,0.99,0.92,0.97,1,1,0.98,0.01,1.23,1.33,1.51,1.9,1.85,1.9,0,0.02,0.07,0.07,0.05,0.02,0.04
3,24.237,0.99143,0.12571,0.12571,0.28429,0.68571,0.24571,18.7,16.17,22.24,26.75,19.84,30.22,35.74,0.78,0.03,0.07,0,0,0,0,0.78,0.03,0.07,0,0,0,0,0,0.13,0.29,0.33,0.44,0.42,0.38,0.07,0.85,0.76,0.78,0.87,0.76,0.71,0.07,1.06,1.28,1.42,1.77,1.69,1.74,0,0.08,0.2,0.25,0.29,0.39,0.51
